序号,IP,端口,位置,运营商,时间,sucess
1,42.63.65.66,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.66:80
2,117.69.233.123,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.123:8089
3,60.174.0.182,8089,安徽省池州市,电信,2024/01/05 16:45:02,60.174.0.182:8089
4,60.28.196.208,80,天津市,联通,2024/01/05 16:45:02,60.28.196.208:80
5,114.106.147.110,8089,安徽省池州市青阳县,电信,2024/01/05 16:45:02,114.106.147.110:8089
6,140.249.90.176,80,山东省临沂市,电信,2024/01/05 16:45:02,140.249.90.176:80
7,114.102.46.92,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.92:8089
8,36.6.145.154,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.154:8089
9,114.231.45.161,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.231.45.161:8888
10,114.232.110.45,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.232.110.45:8888
11,139.129.231.228,5001,北京市,阿里云BGP数据中心,2024/01/05 16:45:02,139.129.231.228:5001
12,60.28.196.251,80,天津市,联通,2024/01/05 16:45:02,60.28.196.251:80
13,36.6.144.185,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.185:8089
14,117.69.233.3,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.3:8089
15,103.178.42.23,8181,湖南省,,2024/01/05 16:45:02,103.178.42.23:8181
16,114.102.46.191,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.191:8089
17,111.225.153.136,8089,河北省张家口市,电信,2024/01/05 16:45:02,111.225.153.136:8089
18,223.111.245.232,80,江苏省,移动,2024/01/05 16:45:02,223.111.245.232:80
19,60.210.40.190,9091,山东省淄博市,广电网,2024/01/05 16:45:02,60.210.40.190:9091
20,61.160.202.82,80,江苏省常州市,电信,2024/01/05 16:45:02,61.160.202.82:80
21,223.215.177.0,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.177.0:8089
22,117.69.233.191,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.233.191:8089
23,183.164.242.250,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.242.250:8089
24,114.231.41.146,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.41.146:8089
25,117.69.237.173,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.173:8089
26,60.188.5.172,80,浙江省台州市黄岩区,电信,2024/01/05 16:45:02,60.188.5.172:80
27,113.223.214.30,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.214.30:8089
28,221.226.75.86,55443,江苏省南京市建邺区,电信,2024/01/05 16:45:02,221.226.75.86:55443
29,117.69.237.180,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.69.237.180:8089
30,36.6.145.80,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.80:8089
31,183.164.243.189,8089,安徽省淮北市,电信,2024/01/05 16:45:02,183.164.243.189:8089
32,117.57.92.192,8089,安徽省淮北市,电信,2024/01/05 16:45:02,117.57.92.192:8089
33,223.215.176.114,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,223.215.176.114:8089
34,114.231.42.46,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.42.46:8089
35,139.196.214.238,3128,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,139.196.214.238:3128
36,36.6.144.203,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.203:8089
37,36.6.144.82,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.82:8089
38,101.37.18.160,80,浙江省杭州市,阿里云,2024/01/05 16:45:02,101.37.18.160:80
39,121.43.102.103,80,浙江省杭州市,阿里巴巴网络有限公司BGP数据中心,2024/01/05 16:45:02,121.43.102.103:80
40,60.28.196.249,80,天津市,联通,2024/01/05 16:45:02,60.28.196.249:80
41,159.226.227.92,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.92:80
42,42.63.65.99,80,宁夏,联通,2024/01/05 16:45:02,42.63.65.99:80
43,112.244.244.229,9000,山东省潍坊市,联通,2024/01/05 16:45:02,112.244.244.229:9000
44,36.6.144.100,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.144.100:8089
45,139.196.196.74,80,浙江省杭州市,阿里云BGP数据中心,2024/01/05 16:45:02,139.196.196.74:80
46,114.231.8.51,8089,江苏省南通市,电信,2024/01/05 16:45:02,114.231.8.51:8089
47,112.17.16.213,80,浙江省杭州市,移动,2024/01/05 16:45:02,112.17.16.213:80
48,123.182.58.79,8089,河北省张家口市,电信,2024/01/05 16:45:02,123.182.58.79:8089
49,114.102.47.98,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.47.98:8089
50,114.232.109.104,8888,江苏省南通市,电信,2024/01/05 16:45:02,114.232.109.104:8888
51,36.6.145.81,8089,安徽省亳州市,电信,2024/01/05 16:45:02,36.6.145.81:8089
52,116.63.130.30,8888,吉林省长春市,中移铁通,2024/01/05 16:45:02,116.63.130.30:8888
53,159.226.227.75,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.75:80
54,159.226.227.23,80,北京市,科技网,2024/01/05 16:45:02,159.226.227.23:80
55,114.102.46.46,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.46.46:8089
56,113.223.215.245,8089,湖南省衡阳市,电信,2024/01/05 16:45:02,113.223.215.245:8089
57,116.62.50.250,7890,广东省肇庆市,中移铁通,2024/01/05 16:45:02,116.62.50.250:7890
58,114.102.44.86,8089,安徽省马鞍山市,电信,2024/01/05 16:45:02,114.102.44.86:8089
